Rourke 	6225	1272191.87
Roxas 	4716	27136.61
Roy 	8752	683774.11
Ruggieri 	4824	890595.51
Ruple 	8742	1065883.39
Sabourin 	2688	218465.05
Sanmartini 	5664	113300.78
Schetne 	7569	1431526.66
Schneider 	3333	1951654.85
Semle 	8955	565586.39
Shearer 	5209	1271754.73
Sherrick 	9019	295429.69
Shores 	3349	1500380.15
Siddique 	8265	1259445.22
Simonelli 	5689	1604248.93
Simpson 	5924	1521551.22
Sinnott 	7372	1286447.19
Smith 	2049	175976.91
Sonnelitter 	1313	16496.75
Soper 	8867	484845.87
Sorrell 	5400	1719190.71
Spalding 	1494	914058.78
Spence 	7018	1638670.73
Spicer 	7129	1061800.36
Stanley 	4999	1880011.04
Stein 	9581	20384.01
Stevenson 	7900	1970681.38
Stokes 	2557	1820853.99
Sullivan 	2748	1410136.90
Sutton 	4870	836366.63
Tabb 	8076	642468.38
Tam 	6151	1594725.36
Tanzi 	6322	27490.63
Taylor 	5745	293329.27
Teixeira 	4507	1244245.07
Thomas 	5118	382419.80
Thompson 	9784	1865385.53
Toney 	1147	296513.93
Turner 	8374	1388877.88
Vanmoerkerque 	7933	1974618.83
Vaz 	9003	136236.49
Vega 	4614	65112.97
Violette 	6710	208065.43
Voakes 	1071	1762244.76
Wade-West 	2851	1464662.32
Walburn 	8302	567596.16
Waldemore 	6320	1785356.34
Wang 	7988	607351.02
Webb 	5514	895078.69
Wegermann 	2211	395375.56
Weiland 	7206	1014615.12
Weimer 	2612	1623274.35
White 	5832	569083.28
Widico 	2848	870799.42
Wiegand 	3252	1736789.58
Williams 	3097	1289695.50
Wimberly 	8625	199622.38
Wolfert 	6247	139703.19
Yee 	3531	766646.70
Yoakum 	9583	379211.26
Yoder 	6261	375449.90
YoungIII 	6176	872732.60
